﻿Номер поручения;Заказчик;Дата поручения;Выполнено;Дата выполнения;Затрачено дней;Сумма вознаграждения;Описание
11000;Анна;1051-08-11;да;1051-08-21;4;6000;В лесу по дороге от пещеры звери нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.
11001;Мария;1051-07-09;да;1051-09-02;2;20000;В лесу по дороге от пещеры были замечены разбойники. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.
11002;Эмилио;1053-10-05;да;1053-10-20;7;22500;По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.
11003;Бьянка;1052-11-24;да;1052-12-02;5;5500;Недалеко от города видели монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.
11004;Бьянка;1052-02-23;да;1052-03-30;8;10500;В деревне у меня пропала сумка с документами. Нужно найти её как можно скорее.
11005;Анна;1051-09-07;да;1051-09-24;4;9000;В лесу недалеко от города заметили зверей. Нужно убить их.
11006;Роман;1053-08-27;да;1053-10-18;8;8000;В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.
11007;Иван;1051-02-14;да;1051-03-26;10;21500;В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.
11008;Олег;1053-06-19;да;1053-06-24;3;12000;Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.
11009;Татьяна;1052-10-19;да;1052-12-13;2;28500;В пещере появвилось огромное каменное чудовище. Нужно убить его.
11010;Анна;1051-02-12;да;1051-02-18;4;22500;Недалеко от города встречаются звери. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.
11011;Аделина;1052-02-19;да;1052-02-28;3;6500;Недалеко от города заметили разбойников. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.
11012;Эмилио;1052-01-08;да;1052-02-14;4;11000;В пещере завёлся дракон. Нужно его убить.
11013;Бабушка Синь;1053-05-23;да;1053-06-06;10;24500;В лесу около деревни разбойники нападают на людей. Нужно проучить их.
11014;Татьяна;1052-05-16;да;1052-05-30;3;17500;В лесу по дороге от пещеры заметили зверей. Нужно убить их.
11015;Анна;1052-12-25;да;1053-01-30;7;24500;В лесу по дороге от пещеры заметили зверей. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.
11016;Надя;1051-10-27;да;1051-12-02;4;26500;В лесу около деревни видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.
11017;Максимилиан;1053-03-03;да;1053-03-08;4;11500;В пещере завёлся дракон. Нужно его уничтожить.
11018;Надя;1053-03-14;да;1053-05-13;9;19500;По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.
11019;Иван;1053-05-22;да;1053-06-08;10;7500;В городе у меня пропала сумка с документами. Нужно найти её как можно скорее.
